TIMESTAMP	HEAD He3	HEAD He4	PUMP He3	SWITCH He3	PUMP He4	SWITCH He4
1709623982	28.47	20.13	4.45	4.43	4.61	4.41
1709623983	28.43	20.14	4.45	4.43	4.61	4.41
1709623984	28.35	20.12	4.45	4.43	4.61	4.41
1709623985	28.24	20.11	4.45	4.43	4.61	4.41
1709623986	28.35	20.13	4.45	4.43	4.61	4.41
1709623987	28.36	20.14	4.45	4.43	4.61	4.41
1709623988	28.41	20.10	4.45	4.43	4.61	4.41
1709623989	28.38	20.13	4.45	4.43	4.61	4.41
1709623990	28.32	20.13	4.45	4.43	4.61	4.41
1709623991	28.39	20.12	4.45	4.43	4.61	4.41
1709623992	28.50	20.14	4.45	4.43	4.61	4.41
1709623993	28.45	20.12	4.45	4.43	4.61	4.41
1709623994	28.49	20.11	4.45	4.43	4.61	4.41
1709623995	28.37	20.13	4.45	4.43	4.61	4.41
1709623996	28.32	20.12	4.45	4.43	4.61	4.41
1709623997	28.37	20.12	4.45	4.43	4.61	4.41
1709623998	28.43	20.12	4.45	4.43	4.61	4.41
1709623999	28.48	20.11	4.45	4.43	4.61	4.41
1709624000	28.48	20.13	4.45	4.43	4.61	4.41
1709624001	28.35	20.14	4.45	4.43	4.61	4.41
1709624002	28.42	20.12	4.45	4.43	4.61	4.41
1709624003	28.48	20.12	4.45	4.43	4.61	4.41
1709624004	28.41	20.12	4.45	4.43	4.61	4.41
1709624005	28.47	20.11	4.45	4.43	4.61	4.41
1709624006	28.52	20.13	4.45	4.43	4.61	4.41
1709624007	28.39	20.11	4.45	4.43	4.61	4.41
1709624008	28.35	20.10	4.45	4.43	4.61	4.41
1709624009	28.44	20.11	4.45	4.43	4.61	4.41
1709624010	28.43	20.13	4.45	4.43	4.61	4.41
1709624011	28.45	20.13	4.45	4.43	4.61	4.41
1709624012	28.39	20.13	4.45	4.43	4.61	4.41
1709624013	28.48	20.12	4.45	4.43	4.61	4.41
1709624014	28.47	20.12	4.45	4.43	4.61	4.41
1709624015	28.44	20.12	4.45	4.43	4.61	4.41
1709624016	28.49	20.13	4.45	4.43	4.61	4.41
1709624017	28.40	20.14	4.45	4.43	4.61	4.41
1709624018	28.37	20.13	4.45	4.43	4.61	4.41
