TIMESTAMP	HEAD He3	PUMP He3	SWITCH He3	HEAD He4	PUMP He4	SWITCH He4	Cernox	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1729604623	296.648	290.225	290.435	300.000	290.503	290.234	281.733	0	0	0	0
1729604624	292.475	290.225	290.435	300.000	290.503	290.234	281.633	0	0	0	0
1729604625	288.502	290.225	290.435	300.000	290.503	290.234	281.529	0	0	0	0
1729604626	290.433	290.225	290.435	300.000	290.503	290.234	281.427	0	0	0	0
1729604627	295.183	290.225	290.436	300.000	290.503	290.235	281.427	0	0	0	0
1729604628	293.674	290.225	290.436	300.000	290.503	290.235	281.157	0	0	0	0
1729604629	298.624	290.225	290.436	300.000	290.503	290.235	281.185	0	0	0	0
1729604630	296.981	290.225	290.436	300.000	290.503	290.235	281.099	0	0	0	0
1729604631	297.825	290.225	290.436	300.000	290.503	290.235	281.093	0	0	0	0
1729604632	292.453	290.226	290.436	300.000	290.503	290.235	281.014	0	0	0	0
1729604633	294.628	290.226	290.436	300.000	290.503	290.235	280.956	0	0	0	0
1729604634	296.804	290.225	290.436	300.000	290.502	290.235	280.934	0	0	0	0
1729604635	293.918	290.225	290.436	300.000	290.502	290.235	280.818	0	0	0	0
1729604636	294.451	290.225	290.436	300.000	290.502	290.235	280.799	0	0	0	0
1729604637	295.938	290.225	290.436	300.000	290.502	290.235	280.647	0	0	0	0
1729604638	292.364	290.225	290.436	300.000	290.502	290.235	280.517	0	0	0	0
1729604639	292.741	290.225	290.436	300.000	290.502	290.235	280.472	0	0	0	0
1729604640	293.296	290.225	290.436	300.000	290.502	290.235	280.446	0	0	0	0
1729604641	292.764	290.225	290.436	300.000	290.502	290.235	280.337	0	0	0	0
1729604642	291.942	290.225	290.436	300.000	290.502	290.235	280.308	0	0	0	0
1729604643	294.317	290.225	290.436	300.000	290.502	290.235	280.153	0	0	0	0
1729604644	294.584	290.225	290.436	300.000	290.501	290.235	280.146	0	0	0	0
1729604645	287.247	290.225	290.436	300.000	290.502	290.235	280.043	0	0	0	0
1729604646	290.433	290.225	290.436	300.000	290.502	290.235	279.971	0	0	0	0
1729604647	297.048	290.225	290.436	300.000	290.502	290.235	279.889	0	0	0	0
1729604648	293.474	290.224	290.436	300.000	290.501	290.235	279.978	0	0	0	0
1729604649	300.000	290.224	290.436	300.000	290.502	290.235	279.778	0	0	0	0
1729604650	295.228	290.224	290.436	300.000	290.501	290.235	279.721	0	0	0	0
1729604651	300.000	290.224	290.436	300.000	290.501	290.235	279.518	0	0	0	0
1729604652	295.982	290.224	290.436	300.000	290.501	290.235	279.617	0	0	0	0
1729604653	291.387	290.223	290.436	300.000	290.501	290.235	279.538	0	0	0	0
1729604654	289.911	290.224	290.436	300.000	290.501	290.235	279.465	0	0	0	0
1729604655	293.585	290.224	290.436	300.000	290.501	290.235	279.306	0	0	0	0
1729604656	296.115	290.224	290.436	300.000	290.501	290.235	279.345	0	0	0	0
1729604657	290.988	290.224	290.436	300.000	290.501	290.235	279.230	0	0	0	0
1729604658	291.276	290.224	290.436	300.000	290.501	290.235	279.166	0	0	0	0
1729604659	291.676	290.224	290.436	300.000	290.501	290.236	279.058	0	0	0	0
1729604660	293.141	290.224	290.436	300.000	290.501	290.236	279.046	0	0	0	0
1729604661	295.760	290.224	290.436	300.000	290.501	290.235	278.995	0	0	0	0
1729604662	287.625	290.224	290.436	300.000	290.501	290.235	278.958	0	0	0	0
